Features,Source,Target,Model,Seed,Site_ID,RMSE_kW,Skill
common,DKASC,HKUST,GBM,42,UG Hall6,0.3173915915423736,0.03819558264174994
common,DKASC,HKUST,GBM,42,UG Hall7,0.2869475729834075,-0.012842068341235802
common,DKASC,HKUST,GBM,42,UG Hall8,0.3230854260216003,0.09067510790188671
common,DKASC,HKUST,GBM,42,UG Hall9,0.32017996432231977,0.03115885691828446
common,DKASC,HKUST,GBM,42,Wong Check She Research Centre,1.4474581461874856,0.024484637377884422
common,DKASC,HKUST,GBM,42,Zone A1,0.3603746834789793,0.02379474366287948
common,DKASC,HKUST,GBM,42,Zone A2,2.612255971492062,0.006382000453240777
common,DKASC,HKUST,GBM,42,Zone A4,0.731537467488435,-6.233994564053269e-05
common,DKASC,HKUST,GBM,42,Zone A5,0.20937896660514313,0.040238105773870325
common,DKASC,HKUST,GBM,42,Zone A6,0.7497568523099897,0.0089021723520335
common,DKASC,HKUST,GBM,42,Zone A7,0.13358161456617568,0.04194711606186918
common,DKASC,HKUST,GBM,42,Zone D,1.1401962955395208,0.02856736861804221
common,DKASC,HKUST,GBM,42,Zone J1,0.31707704316905216,0.03936095134014883
common,DKASC,HKUST,GBM,42,Zone J2,0.46349345844703355,-0.054419453395197825
common,DKASC,HKUST,GBM,42,Zone L2,0.12604597782855317,0.024608103545074034
common,DKASC,PVDAQ,GBM,42,1199,2.3862062588416153,-0.9143551753864625
common,DKASC,PVDAQ,GBM,42,1239,1.3460057992642487,0.12886854956197902
common,DKASC,PVDAQ,GBM,42,1283,18.177431501733786,0.0948056885276396
common,DKASC,PVDAQ,GBM,42,1367,6.692425738387483,-0.24084195509856854
common,DKASC,PVDAQ,GBM,42,1422,0.3281599198757192,0.03390931816353959
common,DKASC,PVDAQ,GBM,42,34,13.436933716094432,0.1562429419094089
common,DKASC,PVDAQ,GBM,42,4,0.05362037000861046,0.023068950875323346
common,DKASC,DKASC,GBM,7,DKASC_1,2.4816448444663486,0.10410610800895126
common,DKASC,HKUST,GBM,7,Indoor Sports Centre,0.48326715503422885,0.0474190562104182
common,DKASC,HKUST,GBM,7,LSK North,0.8226404260753611,0.03629516294690949
common,DKASC,HKUST,GBM,7,LSK South,0.28587379286795317,-0.006387902828948411
common,DKASC,HKUST,GBM,7,Library,1.6876930390600102,0.05404852473721167
common,DKASC,HKUST,GBM,7,S H Ho Sports Hall,0.4380260674093886,-0.04868364781880419
common,DKASC,HKUST,GBM,7,SQ Apartment1-12,0.26789475383913747,-0.00881408666168837
common,DKASC,HKUST,GBM,7,SQ Apartment13-24,0.2809086809304987,0.03856809436401454
common,DKASC,HKUST,GBM,7,SQ Apartment25-36,0.250559820509281,0.044223456605369305
common,DKASC,HKUST,GBM,7,SQ Apartment37-48,0.16910602319360132,0.010378005727660788
common,DKASC,HKUST,GBM,7,SQ Block P,0.434972866441972,0.04108978391728324
common,DKASC,HKUST,GBM,7,SQ Block R,0.4504517145868076,0.005818068432031476
common,DKASC,HKUST,GBM,7,SQ Block S,0.3842436745509293,0.01050105844096294
common,DKASC,HKUST,GBM,7,SQ1,0.36645184712675566,0.035201343575113175
common,DKASC,HKUST,GBM,7,SQ2,0.42549868523831846,0.0493471001061796
common,DKASC,HKUST,GBM,7,SQ3,0.39501133090972884,0.06125822514196144
common,DKASC,HKUST,GBM,7,SQ4,0.3976998407079141,0.037542738971498846
common,DKASC,HKUST,GBM,7,SQ567,0.5493551034741098,0.01907333706657821
common,DKASC,HKUST,GBM,7,Shaw Auditorium,1.0752159923070896,0.054613110271073406
common,DKASC,HKUST,GBM,7,UG Hall2 2F,0.17760660030950365,0.014267635105442822
common,DKASC,HKUST,GBM,7,UG Hall2 RF,0.09579677510656116,0.006002167457865193
common,DKASC,HKUST,GBM,7,UG Hall3,0.3727491529249754,-0.006802348564933336
common,DKASC,HKUST,GBM,7,UG Hall4,0.3784852347265055,0.04967867219669997
common,DKASC,HKUST,GBM,7,UG Hall6,0.3162624599015243,0.041617235353689774
common,DKASC,HKUST,GBM,7,UG Hall7,0.2859001071232963,-0.009144816340664663
common,DKASC,HKUST,GBM,7,UG Hall8,0.31907387676639526,0.10196562520733676
common,DKASC,HKUST,GBM,7,UG Hall9,0.3150841066195548,0.04657854944082618
common,DKASC,HKUST,GBM,7,Wong Check She Research Centre,1.4500414503671186,0.022743617839464214
common,DKASC,HKUST,GBM,7,Zone A1,0.36022532450175976,0.024199336508401448
common,DKASC,HKUST,GBM,7,Zone A2,2.591174326397072,0.014400778955438787
common,DKASC,HKUST,GBM,7,Zone A4,0.7403662863753164,-0.012131946312194275
common,DKASC,HKUST,GBM,7,Zone A5,0.2074217379291697,0.04920974954470081
common,DKASC,HKUST,GBM,7,Zone A6,0.7526798075495629,0.005038340258564977
common,DKASC,HKUST,GBM,7,Zone A7,0.13422914502042202,0.03730300076843451
common,DKASC,HKUST,GBM,7,Zone D,1.1297195226718983,0.03749344483404138
common,DKASC,HKUST,GBM,7,Zone J1,0.31536409111160585,0.04455063211431909
common,DKASC,HKUST,GBM,7,Zone J2,0.4580072170028616,-0.04193858748580581
common,DKASC,HKUST,GBM,7,Zone L2,0.12601544390052496,0.024844386736959545
common,DKASC,PVDAQ,GBM,7,1199,2.28942661711065,-0.8367128478075962
common,DKASC,PVDAQ,GBM,7,1239,1.3298429582113982,0.13932909822920259
common,DKASC,PVDAQ,GBM,7,1283,18.43952494506752,0.08175403742075615
common,DKASC,PVDAQ,GBM,7,1367,6.494455534897552,-0.20413632040759677
common,DKASC,PVDAQ,GBM,7,1422,0.32996838399233025,0.028585266609177817
common,DKASC,PVDAQ,GBM,7,34,13.514048237286703,0.15140062275296906
common,DKASC,PVDAQ,GBM,7,4,0.054828594228787074,0.0010558287203392691
common,DKASC,DKASC,GBM,123,DKASC_1,2.3906286845634095,0.13696367903139062
common,DKASC,HKUST,GBM,123,Indoor Sports Centre,0.4991157373154249,0.016179487558004246
common,DKASC,HKUST,GBM,123,LSK North,0.8256060603562543,0.03282098879884077
common,DKASC,HKUST,GBM,123,LSK South,0.2852803433391148,-0.0042987276696209165
common,DKASC,HKUST,GBM,123,Library,1.6512053049780218,0.07449988946114117
common,DKASC,HKUST,GBM,123,S H Ho Sports Hall,0.45459650288351783,-0.08835513317521082
common,DKASC,HKUST,GBM,123,SQ Apartment1-12,0.2667512055358908,-0.004507814812162003
common,DKASC,HKUST,GBM,123,SQ Apartment13-24,0.2829868480226613,0.0314554051404935
common,DKASC,HKUST,GBM,123,SQ Apartment25-36,0.24779381298206324,0.05477457013983078
common,DKASC,HKUST,GBM,123,SQ Apartment37-48,0.1698624920883613,0.0059510891572184255
common,DKASC,HKUST,GBM,123,SQ Block P,0.4485479555768931,0.011163108807202726
common,DKASC,HKUST,GBM,123,SQ Block R,0.4459460088812287,0.015762510991337186
common,DKASC,HKUST,GBM,123,SQ Block S,0.3865542401485081,0.004550922200258434
common,DKASC,HKUST,GBM,123,SQ1,0.36539672622029556,0.03797927808656454
common,DKASC,HKUST,GBM,123,SQ2,0.4269855760687497,0.046025075552840966
common,DKASC,HKUST,GBM,123,SQ3,0.3974363638408395,0.05549515066863642
common,DKASC,HKUST,GBM,123,SQ4,0.402311666760093,0.026381845714365304
common,DKASC,HKUST,GBM,123,SQ567,0.5628641664191513,-0.005048401222982779
common,DKASC,HKUST,GBM,123,Shaw Auditorium,1.0792410912006918,0.05107402998292687
common,DKASC,HKUST,GBM,123,UG Hall2 2F,0.17964518792241807,0.002953293266676371
common,DKASC,HKUST,GBM,123,UG Hall2 RF,0.09578432948592695,0.006131304580918484
common,DKASC,HKUST,GBM,123,UG Hall3,0.3720629619419595,-0.004948934042476649
common,DKASC,HKUST,GBM,123,UG Hall4,0.3802535152603136,0.04523877718723812
common,DKASC,HKUST,GBM,123,UG Hall6,0.3213336137950648,0.026249915154031633
common,DKASC,HKUST,GBM,123,UG Hall7,0.2841963449993948,-0.0031310280531657853
common,DKASC,HKUST,GBM,123,UG Hall8,0.32234051965271615,0.09277164909178082
common,DKASC,HKUST,GBM,123,UG Hall9,0.31441790706503486,0.0485944205440908
common,DKASC,HKUST,GBM,123,Wong Check She Research Centre,1.4663872213366866,0.011727374822893544
common,DKASC,HKUST,GBM,123,Zone A1,0.3699462002247032,-0.0021331735484289016
common,DKASC,HKUST,GBM,123,Zone A2,2.5956260047123867,0.012707503966096101
common,DKASC,HKUST,GBM,123,Zone A4,0.7249288080066126,0.008972154880695471
common,DKASC,HKUST,GBM,123,Zone A5,0.20924778990261822,0.0408394001757626
common,DKASC,HKUST,GBM,123,Zone A6,0.7528449126708717,0.004820089066116973
common,DKASC,HKUST,GBM,123,Zone A7,0.13535882709039007,0.029200874075468675
common,DKASC,HKUST,GBM,123,Zone D,1.1309356599135651,0.036457311489795585
common,DKASC,HKUST,GBM,123,Zone J1,0.32195535893490007,0.024581260670875293
common,DKASC,HKUST,GBM,123,Zone J2,0.46581611614425994,-0.05970335851812947
common,DKASC,HKUST,GBM,123,Zone L2,0.12730449388221995,0.014869225863671898
common,DKASC,PVDAQ,GBM,123,1199,2.4739384702304803,-0.9847391215763883
common,DKASC,PVDAQ,GBM,123,1239,1.3411525575532368,0.13200955496726852
common,DKASC,PVDAQ,GBM,123,1283,19.0045600744653,0.05361658660081314
common,DKASC,PVDAQ,GBM,123,1367,6.641884786688035,-0.23147116253832167
common,DKASC,PVDAQ,GBM,123,1422,0.34764592541249584,-0.023456762320704483
common,DKASC,PVDAQ,GBM,123,34,13.536464714234436,0.14999300543180005
common,DKASC,PVDAQ,GBM,123,4,0.05484416687219868,0.0007721044777929675
common,HKUST,DKASC,GBM,42,DKASC_1,2.61739366380223,0.055099684563953866
common,HKUST,HKUST,GBM,42,Indoor Sports Centre,0.4746545351282579,0.06439562395988518
common,HKUST,HKUST,GBM,42,LSK North,0.7997961231996117,0.06305675219373885
common,HKUST,HKUST,GBM,42,LSK South,0.2714163646652637,0.044507916277930604
common,HKUST,HKUST,GBM,42,Library,1.6927429399797456,0.05121805668739665
common,HKUST,HKUST,GBM,42,S H Ho Sports Hall,0.44013905133607195,-0.05374236887876749
common,HKUST,HKUST,GBM,42,SQ Apartment1-12,0.2485542058657564,0.06401681786217828
common,HKUST,HKUST,GBM,42,SQ Apartment13-24,0.27167136167281936,0.07018354116138836
common,HKUST,HKUST,GBM,42,SQ Apartment25-36,0.244152516760552,0.06866452866948669
common,HKUST,HKUST,GBM,42,SQ Apartment37-48,0.16873371333395476,0.012556792850866194
common,HKUST,HKUST,GBM,42,SQ Block P,0.4374722638946299,0.03557979022271207
common,HKUST,HKUST,GBM,42,SQ Block R,0.4350289033250623,0.03985741114931918
common,HKUST,HKUST,GBM,42,SQ Block S,0.3663251446618941,0.056644606230568106
common,HKUST,HKUST,GBM,42,SQ1,0.3519961516582709,0.073260465599015
common,HKUST,HKUST,GBM,42,SQ2,0.395136988853223,0.11718146884934155
common,HKUST,HKUST,GBM,42,SQ3,0.38778122201607984,0.07844053036750964
common,HKUST,HKUST,GBM,42,SQ4,0.3888907991970505,0.058861143197511456
common,HKUST,HKUST,GBM,42,SQ567,0.5437282479744335,0.02912063170933399
common,HKUST,HKUST,GBM,42,Shaw Auditorium,1.060383383319503,0.06765472626048175
common,HKUST,HKUST,GBM,42,UG Hall2 2F,0.17196531305171564,0.0455772791162985
common,HKUST,HKUST,GBM,42,UG Hall2 RF,0.09150838366965959,0.05049898677804354
common,HKUST,HKUST,GBM,42,UG Hall3,0.35483493139045175,0.041584294763807206
common,HKUST,HKUST,GBM,42,UG Hall4,0.3669672545281261,0.07859864378725756
common,HKUST,HKUST,GBM,42,UG Hall6,0.3104860067160585,0.05912185216929433
common,HKUST,HKUST,GBM,42,UG Hall7,0.2844445362650427,-0.004007071548601138
common,HKUST,HKUST,GBM,42,UG Hall8,0.3165099062189455,0.10918192793603565
common,HKUST,HKUST,GBM,42,UG Hall9,0.3112886967507776,0.05806318197713334
common,HKUST,HKUST,GBM,42,Wong Check She Research Centre,1.4131518946166615,0.047605358021494126
common,HKUST,HKUST,GBM,42,Zone A1,0.34967931544788544,0.05276701882277657
common,HKUST,HKUST,GBM,42,Zone A2,2.563012298887456,0.02511270678435762
common,HKUST,HKUST,GBM,42,Zone A4,0.6965616238203782,0.04775205865288745
common,HKUST,HKUST,GBM,42,Zone A5,0.20426221272648382,0.06369254092796162
common,HKUST,HKUST,GBM,42,Zone A6,0.7141782156637692,0.05593329901943778
common,HKUST,HKUST,GBM,42,Zone A7,0.12961183488880582,0.07041854067261955
common,HKUST,HKUST,GBM,42,Zone D,1.0858746887813062,0.07484868140643242
common,HKUST,HKUST,GBM,42,Zone J1,0.30602971771408344,0.07283071032752142
common,HKUST,HKUST,GBM,42,Zone J2,0.43026185115996923,0.021180433836165302
common,HKUST,HKUST,GBM,42,Zone L2,0.12106541337105843,0.06314961272531627
common,HKUST,PVDAQ,GBM,42,1199,1.5596949458773062,-0.2512791300420911
common,HKUST,PVDAQ,GBM,42,1239,1.3768170008386749,0.10892762008608836
common,HKUST,PVDAQ,GBM,42,1283,18.013529314935788,0.1029676407326734
common,HKUST,PVDAQ,GBM,42,1367,6.168708199304889,-0.14373954103857534
common,HKUST,PVDAQ,GBM,42,1422,0.30616907711979696,0.09864954689187799
